moose;epaie;MOPackageReference;76;
moose;epaie;name;epaie;
moose;epaie;MOMetaClass;678;
moose;epaie;MOThisContextReference;2;
moose;epaie;MOStClass;678;
moose;epaie;MOStBlockClosure;4944;
moose;epaie;MOCharacterLiteral;103;
moose;epaie;MOStMethod;7440;
moose;epaie;MOPharo;1;
moose;epaie;MOSharedVariable;17;
moose;epaie;MOStArrayExpression;706;
moose;epaie;MOSharedPoolReference;1;
moose;epaie;MOStCascade;1353;
moose;epaie;MOSuperReference;534;
moose;moose;name;moose;
moose;northwind;MOArrayLiteral;566;
moose;northwind;MOPackage;76;
moose;northwind;MOStPragma;461;
moose;northwind;MOPackageReference;76;
moose;northwind;name;northwind;
moose;northwind;MOMetaClass;678;
moose;northwind;MOThisContextReference;2;
moose;northwind;MOStClass;678;
moose;northwind;MOStBlockClosure;4944;
moose;northwind;MOCharacterLiteral;103;
moose;northwind;MOStMethod;7440;
moose;northwind;MOPharo;1;
moose;northwind;MOFloatLiteral;273;
moose;northwind;MOStArrayExpression;706;
moose;northwind;MOSharedVariable;17;
moose;northwind;MOSharedPoolReference;1;
moose;northwind;MOStCascade;1353;
moose;northwind;MOSuperReference;534;
moose;petstore;MOArrayLiteral;566;
moose;petstore;MOStPragma;461;
moose;petstore;name;petstore;
moose;petstore;MOMetaClass;678;
moose;petstore;MOThisContextReference;2;
moose;petstore;MOStClass;678;
moose;petstore;MOCharacterLiteral;103;
moose;petstore;MOStBlockClosure;4944;
moose;petstore;MOStMethod;7440;
moose;petstore;MOPharo;1;
moose;petstore;MOFloatLiteral;273;
moose;petstore;MOStArrayExpression;706;
moose;petstore;MOSharedVariable;17;
moose;petstore;MOSharedPoolReference;1;
moose;petstore;MOStCascade;1353;
moose;petstore;MOSuperReference;534;
northwind;argo;MOLabelReference;52;
northwind;argo;MOGlobalConstant;1;
northwind;argo;MOAlceWith;13;
northwind;argo;MOForNext;1;
northwind;argo;MOQueryAttribute;248;
northwind;argo;MOCase;23;
northwind;argo;MOForeignRelation;46;
northwind;argo;MOGlobalVariable;529;
northwind;argo;name;argo;
northwind;argo;MOVariableAccessor;13;
northwind;argo;MOSelect;6;
northwind;argo;MOAlceReport;15;
northwind;argo;MOModule;21;
northwind;argo;MOAlceQuery;27;
northwind;argo;MOEnum;145;
northwind;argo;MOAlceOnErrorGoToLabel;17;
northwind;argo;MOAttributeAccessor;8802;
northwind;argo;MOProcedure;3;
northwind;argo;MOClassProcedure;50;
northwind;argo;MOAlceOnErrorResumeNext;2;
northwind;argo;MOAlias;159;
northwind;argo;MOLibrary;7;
northwind;argo;MOFunction;911;
northwind;argo;MOProject;1;
northwind;argo;MOAlceForm;35;
northwind;argo;MOAlceResume;13;
northwind;argo;MOAlceTable;32;
northwind;argo;MOStructure;4;
northwind;argo;MOForeignRelationMatch;46;
northwind;argo;MOAlceResumeLabel;3;
northwind;argo;MOAlceExit;36;
northwind;argo;MOSetToReturn;87;
northwind;argo;MOAccess;1;
northwind;argo;MOConstantReference;132;
northwind;argo;MOClassFunction;12536;
northwind;calypso;MOWhile;5;
northwind;calypso;MOProject;1;
northwind;calypso;MOPrimitiveType;38;
northwind;calypso;MOFunction;911;
northwind;calypso;MOAlceExit;36;
northwind;calypso;MOForeignRelation;46;
northwind;calypso;MOLibrary;7;
northwind;calypso;MOArrayAccess;85;
northwind;calypso;MOAlceResumeLabel;3;
northwind;calypso;name;calypso;
northwind;calypso;MOForeignRelationMatch;46;
northwind;calypso;MOCase;23;
northwind;calypso;MOAttributeAccessor;8802;
northwind;calypso;MOAttributeAccess;625;
northwind;calypso;MOClassProcedure;50;
northwind;calypso;MOPrimitiveTypeReference;28;
northwind;calypso;MOBinaryArithmeticOperation;190;
northwind;calypso;MONewInvocation;17;
northwind;calypso;MOSelect;6;
northwind;calypso;MOAlceOnErrorGoToLabel;17;
northwind;calypso;MOUnaryArithmeticOperation;42;
northwind;calypso;MOClassFunction;12536;
northwind;calypso;MOEnumEntry;1715;
northwind;calypso;MOAlceReport;15;
northwind;calypso;MOQueryAttribute;248;
northwind;calypso;MOAlceForm;35;
northwind;calypso;MOAlceResume;13;
northwind;calypso;MOGlobalConstant;1;
northwind;calypso;MOAlias;159;
northwind;calypso;MOIfElse;127;
northwind;calypso;MOConstantReference;132;
northwind;calypso;MOVariableAccessor;13;
northwind;calypso;MOAlceTable;32;
northwind;calypso;MOSetToReturn;87;
northwind;calypso;MOProcedure;3;
northwind;calypso;MOEnum;145;
northwind;calypso;MOAlceWith;13;
northwind;calypso;MOModule;21;
northwind;calypso;MOLabelReference;52;
northwind;calypso;MOAlceOnErrorResumeNext;2;
northwind;calypso;MODeclarationUnit;387;
northwind;calypso;MOAlceQuery;27;
northwind;calypso;MOStructure;4;
northwind;calypso;MOAccess;1;
northwind;calypso;MOForNext;1;
northwind;epaie;MOForeignRelationMatch;46;
northwind;epaie;name;epaie;
northwind;epaie;MOForeignRelation;46;
northwind;moose;MOWhile;5;
northwind;moose;MOProject;1;
northwind;moose;MOPrimitiveType;38;
northwind;moose;MOFunction;911;
northwind;moose;MOAlceExit;36;
northwind;moose;MOForeignRelation;46;
northwind;moose;MOLibrary;7;
northwind;moose;MOArrayAccess;85;
northwind;moose;MOAlceResumeLabel;3;
northwind;moose;name;moose;
northwind;moose;MOForeignRelationMatch;46;
northwind;moose;MOCase;23;
northwind;moose;MOAttributeAccessor;8802;
northwind;moose;MOAttributeAccess;625;
northwind;moose;MOClassProcedure;50;
northwind;moose;MOPrimitiveTypeReference;28;
northwind;moose;MOBinaryArithmeticOperation;190;
northwind;moose;MONewInvocation;17;
northwind;moose;MOSelect;6;
northwind;moose;MOAlceOnErrorGoToLabel;17;
northwind;moose;MOUnaryArithmeticOperation;42;
northwind;moose;MOClassFunction;12536;
northwind;moose;MOEnumEntry;1715;
northwind;moose;MOAlceReport;15;
northwind;moose;MOQueryAttribute;248;
northwind;moose;MOAlceForm;35;
northwind;moose;MOAlceResume;13;
northwind;moose;MOGlobalConstant;1;
northwind;moose;MOAlias;159;
northwind;moose;MOIfElse;127;
northwind;moose;MOConstantReference;132;
northwind;moose;MOVariableAccessor;13;
northwind;moose;MOAlceTable;32;
northwind;moose;MOSetToReturn;87;
northwind;moose;MOProcedure;3;
northwind;moose;MOEnum;145;
northwind;moose;MOAlceWith;13;
northwind;moose;MOModule;21;
northwind;moose;MOLabelReference;52;
northwind;moose;MOAlceOnErrorResumeNext;2;
northwind;moose;MODeclarationUnit;387;
northwind;moose;MOAlceQuery;27;
northwind;moose;MOStructure;4;
northwind;moose;MOAccess;1;
northwind;moose;MOForNext;1;
northwind;northwind;name;northwind;
northwind;petstore;MOLabelReference;52;
northwind;petstore;MOGlobalConstant;1;
northwind;petstore;MOAlceWith;13;
northwind;petstore;MOForNext;1;
northwind;petstore;MOQueryAttribute;248;
northwind;petstore;MOEnumEntry;1715;
northwind;petstore;MOCase;23;
northwind;petstore;MOForeignRelation;46;
northwind;petstore;MOGlobalVariable;529;
northwind;petstore;name;petstore;
northwind;petstore;MOVariableAccessor;13;
northwind;petstore;MOSelect;6;
northwind;petstore;MOAlceReport;15;
northwind;petstore;MOModule;21;
northwind;petstore;MOAlceQuery;27;
northwind;petstore;MOEnum;145;
northwind;petstore;MOAlceOnErrorGoToLabel;17;
northwind;petstore;MOAttributeAccessor;8802;
northwind;petstore;MOProcedure;3;
northwind;petstore;MOClassProcedure;50;
